function	callee
IillIII	SetPlayerAllianceStateBJ
IilliiI	DialogClearBJ
IilliiI	DisplayTimedTextToForce
IilliiI	SetPlayerAllianceStateBJ
IillllI	DialogClearBJ
IillllI	DisplayTimedTextToForce
IillllI	SetPlayerAllianceStateBJ
IlIIiII	DialogClearBJ
IlIIiII	DisplayTimedTextToForce
IlIIiII	SetPlayerAllianceStateBJ
IlIIliI	DialogClearBJ
IlIIliI	DisplayTimedTextToForce
IlIIliI	SetPlayerAllianceStateBJ
IlIiIlI	DialogClearBJ
IlIiIlI	DisplayTimedTextToForce
IlIiIlI	SetPlayerAllianceStateBJ
IlIilII	DisplayTimedTextToForce
IlIilII	SetPlayerAllianceStateBJ
IlIliII	DisplayTimedTextToForce
IlIlilI	DialogAddButtonBJ
IlIlilI	DialogDisplayBJ
IlIlilI	DialogSetMessageBJ
IliIilI	CreateNUnitsAtLoc
IliIilI	DisplayTimedTextToForce
IliIlII	SetPlayerTechResearchedSwap
IliiIII	IssuePointOrderLocBJ
IliiIiI	IssuePointOrderLocBJ
IliiIlI	ForGroupBJ
IliiiII	EnableTrigger
IliiiII	SetUnitAnimationWithRarity
IliiiiI	CreateNUnitsAtLoc
IliiiiI	DisableTrigger
IliiiiI	DisplayTimedTextToForce
IliiiiI	EnableTrigger
IliiiiI	PingMinimapLocForForceEx
IliiiiI	UnitShareVisionBJ
IliiiiI	lIIiiI
IliiilI	DisableTrigger
IliiilI	DisplayTimedTextToForce
IliiilI	EnableTrigger
IliilII	CreateNUnitsAtLoc
IliilII	DisableTrigger
IliilII	DisplayTimedTextToForce
IliilII	EnableTrigger
IliilII	PingMinimapLocForForceEx
IliilII	UnitShareVisionBJ
IliiliI	DisableTrigger
IliiliI	DisplayTimedTextToForce
IliiliI	EnableTrigger
IliillI	CreateNUnitsAtLoc
IliillI	DisableTrigger
IliillI	DisplayTimedTextToForce
IliillI	EnableTrigger
IliillI	PingMinimapLocForForceEx
IliillI	UnitShareVisionBJ
IlilIII	DisableTrigger
IlilIII	DisplayTimedTextToForce
IlilIII	EnableTrigger
IlilIiI	CreateNUnitsAtLoc
IlilIiI	DisableTrigger
IlilIiI	DisplayTimedTextToForce
IlilIiI	EnableTrigger
IlilIiI	PingMinimapLocForForceEx
IlilIiI	UnitShareVisionBJ
IlilIlI	DisableTrigger
IlilIlI	DisplayTimedTextToForce
IlilIlI	EnableTrigger
IliliII	CreateNUnitsAtLoc
IliliII	DisableTrigger
IliliII	DisplayTimedTextToForce
IliliII	EnableTrigger
IliliII	PingMinimapLocForForceEx
IliliII	UnitShareVisionBJ
IlillII	CreateNUnitsAtLoc
IllIIII	CreateNUnitsAtLoc
IllIiII	CreateNUnitsAtLoc
IllIlII	CreateNUnitsAtLoc
IlliIII	CreateNUnitsAtLoc
IlliiII	CreateNUnitsAtLoc
IllilII	CreateNUnitsAtLoc
IlllIII	CreateNUnitsAtLoc
IllliII	CreateNUnitsAtLoc
IllllII	CreateNUnitsAtLoc
iIlIllI	AddHeroXPSwapped
iIliIII	AddHeroXPSwapped
iIliIiI	AddHeroXPSwapped
iIliIlI	AddHeroXPSwapped
iIliiII	AddHeroXPSwapped
iIliiiI	AddHeroXPSwapped
iIliilI	ForGroupBJ
iIliliI	CreateLeaderboardBJ
iIliliI	LeaderboardAddItemBJ
iIliliI	LeaderboardDisplayBJ
iIliliI	LeaderboardSetStyleBJ
iIliliI	LeaderboardSortItemsBJ
iIllIiI	ConditionalTriggerExecute
iIllilI	ConditionalTriggerExecute
iIlllII	CustomVictoryBJ
iiIIliI	DisplayTimedTextToForce
iiIIliI	LeaderboardSetPlayerItemValueBJ
iiIIllI	CreateMultiboardBJ
iiIIllI	MultiboardSetItemStyleBJ
iiIIllI	MultiboardSetItemValueBJ
iiIiIlI	MultiboardSetItemValueBJ
iiIilII	DialogAddButtonBJ
iiIilII	DialogDisplayBJ
iiIilII	DialogSetMessageBJ
iiIilII	DisplayTimedTextToForce
iiIillI	KillUnit
iiIlIlI	CustomDefeatBJ
iiIlIlI	DialogClearBJ
iiIlIlI	DisplayTimedTextToForce
iiIlIlI	ForGroupBJ
iiiIIII	DisplayTimedTextToForce
iiiIIII	StartTimerBJ
iiiIIlI	KillUnit
iiiIiiI	CustomDefeatBJ
iiiIiiI	DisplayTimedTextToForce
iiiIiiI	ForGroupBJ
iiiIilI	ConditionalTriggerExecute
iiiIilI	DisableTrigger
iiiIilI	NewSoundEnvironment
iiiIilI	SetAmbientDaySound
iiiIilI	SetAmbientNightSound
iiiIilI	SetCameraBounds
iiiIilI	SetDayNightModels
iiiIilI	SetMapMusic
iiiIilI	SetSoundChannel
iiiIilI	SetSoundDuration
iiiIilI	SetSoundParamsFromLabel
iiiIilI	SetSoundPitch
iiiIilI	SetSoundVolume
iiiIilI	SetTerrainFogEx
iiiIilI	TriggerAddAction
iiiIilI	TriggerAddCondition
iiiIilI	TriggerRegisterAnyUnitEventBJ
iiiIilI	TriggerRegisterDialogEventBJ
iiiIilI	TriggerRegisterEnterRectSimple
iiiIilI	TriggerRegisterGameStateEventTimeOfDay
iiiIilI	TriggerRegisterLeaveRectSimple
iiiIilI	TriggerRegisterPlayerChatEvent
iiiIilI	TriggerRegisterPlayerEventLeave
iiiIilI	TriggerRegisterPlayerSelectionEventBJ
iiiIilI	TriggerRegisterTimerEventPeriodic
iiiIilI	TriggerRegisterTimerEventSingle
iiiIilI	TriggerRegisterTimerExpireEventBJ
iiiIilI	lilIII
iiiIilI	lilIiI
iiiIilI	lilIlI
iiiIilI	liliII
iiiIilI	liliiI
iiiIilI	lililI
iiiIilI	lillII
iiiIlII	ExecuteFunc
iiiIliI	DisplayTimedTextToPlayer
iiiIllI	TriggerAddAction
iiiIllI	TriggerRegisterPlayerChatEvent
iiiiIiI	TriggerAddAction
iiiiIlI	DisplayTimedTextToPlayer
iiiiiII	TriggerAddAction
iiiiiII	TriggerRegisterPlayerChatEvent
iiiiiiI	DisplayTimedTextToPlayer
iiiiilI	TriggerAddAction
iiiiilI	TriggerRegisterPlayerChatEvent
iiiiliI	DisplayTextToForce
iiiillI	TriggerAddAction
iiiillI	TriggerAddCondition
iiiillI	TriggerRegisterPlayerChatEvent
iiilIiI	DisplayTextToForce
iiilIlI	TriggerAddAction
iiilIlI	TriggerAddCondition
iiilIlI	TriggerRegisterPlayerChatEvent
iiililI	CreateNUnitsAtLoc
iiillII	TriggerAddAction
iiillII	TriggerAddCondition
iiillII	TriggerRegisterAnyUnitEventBJ
iilIIII	CreateItemLoc
iilIIII	DoNothing
iilIIiI	TriggerAddAction
iilIIiI	TriggerAddCondition
iilIIiI	TriggerRegisterAnyUnitEventBJ
iilIiiI	CreateFogModifierRectBJ
iilIiiI	CreateItemLoc
iilIilI	TriggerAddAction
iilIilI	TriggerAddCondition
iilIilI	TriggerRegisterAnyUnitEventBJ
iilIllI	CreateNUnitsAtLoc
iiliIII	TriggerAddAction
iiliIII	TriggerAddCondition
iiliIII	TriggerRegisterAnyUnitEventBJ
iiliiII	CreateNUnitsAtLoc
iiliiiI	TriggerAddAction
iiliiiI	TriggerAddCondition
iiliiiI	TriggerRegisterAnyUnitEventBJ
iililiI	CreateNUnitsAtLoc
iilillI	TriggerAddAction
iilillI	TriggerAddCondition
iilillI	TriggerRegisterAnyUnitEventBJ
iillIlI	CreateNUnitsAtLoc
iilliII	TriggerAddAction
iilliII	TriggerAddCondition
iilliII	TriggerRegisterAnyUnitEventBJ
iillilI	TriggerAddAction
ilIIlII	CreateNUnitsAtLoc
ilIIlII	RemoveItem
ilIIlII	RemoveUnit
ilIIlII	SetItemCharges
ilIIlII	TriggerSleepAction
ilIIliI	TriggerAddAction
ilIIliI	TriggerAddCondition
ilIIliI	TriggerRegisterAnyUnitEventBJ
ilIillI	CreateNUnitsAtLoc
ilIillI	RemoveItem
ilIillI	RemoveUnit
ilIillI	SetItemCharges
ilIillI	TriggerSleepAction
ilIlIII	TriggerAddAction
ilIlIII	TriggerAddCondition
ilIlIII	TriggerRegisterAnyUnitEventBJ
iliIIiI	CreateNUnitsAtLoc
iliIIiI	RemoveItem
iliIIiI	RemoveUnit
iliIIiI	SetItemCharges
iliIIiI	TriggerSleepAction
iliIIlI	TriggerAddAction
iliIIlI	TriggerAddCondition
iliIIlI	TriggerRegisterAnyUnitEventBJ
iliiiII	CreateNUnitsAtLoc
iliiiII	RemoveItem
iliiiII	RemoveUnit
iliiiII	SetItemCharges
iliiiII	TriggerSleepAction
iliiiiI	TriggerAddAction
iliiiiI	TriggerAddCondition
iliiiiI	TriggerRegisterAnyUnitEventBJ
iliiilI	DialogAddButtonBJ
iliiilI	DisplayTimedTextToForce
iliiilI	SetUnitInvulnerable
iliiilI	ShowUnitHide
iliiilI	TriggerRegisterPlayerChatEvent
iliiilI	TriggerRegisterUnitEvent
iliilII	TriggerAddAction
iliilII	TriggerRegisterTimerEventSingle
iliiliI	FogEnableOn
iliiliI	FogMaskEnableOn
iliillI	TriggerAddAction
ililIiI	AddSpecialEffectLocBJ
ililIiI	DestroyEffectBJ
ililIiI	ModifyHeroStat
ililIiI	PauseUnitBJ
ililIiI	TriggerSleepAction
ililIlI	TriggerAddAction
ililIlI	TriggerAddCondition
ililIlI	TriggerRegisterAnyUnitEventBJ
ililiiI	AddSpecialEffectLocBJ
ililiiI	DestroyEffectBJ
ililiiI	ModifyHeroStat
ililiiI	PauseUnitBJ
ililiiI	TriggerSleepAction
ilililI	TriggerAddAction
ilililI	TriggerAddCondition
ilililI	TriggerRegisterAnyUnitEventBJ
ililliI	UnitAddAbilityBJ
ililllI	TriggerAddAction
ililllI	TriggerAddCondition
ililllI	TriggerRegisterAnyUnitEventBJ
illIIiI	AddSpecialEffectLocBJ
illIIiI	DestroyEffectBJ
illIIiI	ModifyHeroStat
illIIiI	PauseUnitBJ
illIIiI	TriggerSleepAction
illIIlI	TriggerAddAction
illIIlI	TriggerAddCondition
illIIlI	TriggerRegisterAnyUnitEventBJ
illIiiI	AddSpecialEffectLocBJ
illIiiI	DestroyEffectBJ
illIiiI	ModifyHeroStat
illIiiI	PauseUnitBJ
illIiiI	TriggerSleepAction
illIiiI	UnitAddItemByIdSwapped
illIilI	TriggerAddAction
illIilI	TriggerAddCondition
illIilI	TriggerRegisterAnyUnitEventBJ
illIliI	AddSpecialEffectLocBJ
illIliI	DestroyEffectBJ
illIliI	ModifyHeroStat
illIliI	PauseUnitBJ
illIliI	TriggerSleepAction
illIliI	UnitAddItemByIdSwapped
illIllI	TriggerAddAction
illIllI	TriggerAddCondition
illIllI	TriggerRegisterAnyUnitEventBJ
illiIiI	AddSpecialEffectLocBJ
illiIiI	DestroyEffectBJ
illiIiI	ModifyHeroStat
illiIiI	PauseUnitBJ
illiIiI	TriggerSleepAction
illiIiI	UnitAddItemByIdSwapped
illiIlI	TriggerAddAction
illiIlI	TriggerAddCondition
illiIlI	TriggerRegisterAnyUnitEventBJ
illiiiI	AddSpecialEffectLocBJ
illiiiI	DestroyEffectBJ
illiiiI	ModifyHeroStat
illiiiI	PauseUnitBJ
illiiiI	TriggerSleepAction
illiiiI	UnitAddItemByIdSwapped
illiilI	TriggerAddAction
illiilI	TriggerAddCondition
illiilI	TriggerRegisterAnyUnitEventBJ
illilII	SetPlayerUnitAvailableBJ
illiliI	TriggerAddAction
illillI	SetPlayerName
illlIII	TriggerAddAction
illlIII	TriggerRegisterPlayerChatEvent
illlIlI	AddSpecialEffectLocBJ
illlIlI	DestroyEffectBJ
illlIlI	UnitDamageTargetBJ
illliiI	ForGroupBJ
illlilI	TriggerAddAction
illlilI	TriggerAddCondition
illllII	DialogAddButtonBJ
illllII	PauseUnitBJ
illllII	ShowUnitHide
illlliI	TriggerAddAction
illlllI	DisplayTimedTextToForce
illlllI	EnableTrigger
illlllI	PanCameraToTimedLocForPlayer
illlllI	PingMinimapLocForForceEx
illlllI	SetUnitInvulnerable
illlllI	ShowUnitShow
illlllI	lIIiiI
lIIIIII	TriggerAddAction
